ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Stieng-1_all-1-1,Stieng-1_all-1,lɛʔ,1508,false,expert,Peiros2004a,,,
Chrau-1_all-1-1,Chrau-1_all-1,lɛʔ lawʌn,1508,false,expert,Peiros2004a,,,
MRolom-1_all-1-1,MRolom-1_all-1,lɛ mət,1508,false,expert,Peiros2004a,,,
MBunong-1_all-1-1,MBunong-1_all-1,lɛʔ rŋoc,1508,false,expert,Peiros2004a,,,
MDip-1_all-1-1,MDip-1_all-1,dɨŋ ndə,2648,false,expert,Peiros2004a,,,
Ma1-1_all-1-1,Ma1-1_all-1,thuj,3004,false,expert,Peiros2004a,,,
Ma2-1_all-1-1,Ma2-1_all-1,sweh,3005,false,expert,Peiros2004a,,,
Sre-1_all-1-1,Sre-1_all-1,ʒəh,3008,false,expert,Peiros2004a,,,
KahoChil-1_all-1-1,KahoChil-1_all-1,ʒəh ʔalaʔ,3008,false,expert,Peiros2004a,,,
KorCua-1_all-1-1,KorCua-1_all-1,kaluh,3001,false,expert,Peiros2004a,,,
Hadang-1_all-1-1,Hadang-1_all-1,khu,3002,false,expert,Peiros2004a,,,
Hre-1_all-1-1,Hre-1_all-1,diʔ.L dɔŋ,2648,false,expert,Peiros2004a,,,
Rengao-1_all-1-1,Rengao-1_all-1,diʔ.T daŋ.L,2648,false,expert,Peiros2004a,,,
Didra-1_all-1-1,Didra-1_all-1,diʔ.L dəgŋ.L,2648,false,expert,Peiros2004a,,,
Sedang-1_all-1-1,Sedang-1_all-1,tum.T,976,false,expert,Peiros2004a,,,
Panong-1_all-1-1,Panong-1_all-1,kaloh,3001,false,expert,Peiros2004a,,,
Halang-1_all-1-1,Halang-1_all-1,sit,3009,false,expert,Peiros2004a,,,
Jeh-1_all-1-1,Jeh-1_all-1,niʔ.T najh.T,0,false,expert,Peiros2004a,,,
Veh-1_all-1-1,Veh-1_all-1,lam,3003,false,expert,Peiros2004a,,,
Je-1_all-1-1,Je-1_all-1,bal.33 haj.33,3007,false,expert,Peiros2004a,,,
Arak-1_all-1-1,Arak-1_all-1,hoc,3000,false,expert,Peiros2004a,,,
Bahnar-1_all-1-1,Bahnar-1_all-1,dap,1987,false,expert,Peiros2004a,,,
Tempuan-1_all-1-1,Tempuan-1_all-1,tiʔ,2648,false,expert,Peiros2004a,,,
Oy-1_all-1-1,Oy-1_all-1,toc,1514,false,expert,Peiros2004a,,,
Nhaheun-1_all-1-1,Nhaheun-1_all-1,toc,1514,false,expert,Peiros2004a,,,
Jru-1_all-1-1,Jru-1_all-1,toc ʔŋiaʔ,1514,false,expert,Peiros2004a,,,
Tariang-1_all-1-1,Tariang-1_all-1,gəluc,354,false,expert,Peiros2004a,,,
Kantu-1_all-1-1,Kantu-1_all-1,ʔape,3509,false,expert,Peiros2004a,,,
Katu-1_all-1-1,Katu-1_all-1,ʔap,3509,false,expert,Peiros2004a,,,
Dakkang-1_all-1-1,Dakkang-1_all-1,həre luk,3413,false,expert,Peiros2004a,,,
LaoKatu-1_all-1-1,LaoKatu-1_all-1,cuŋ,3408,false,expert,Peiros2004a,,,
Taoih-1_all-1-1,Taoih-1_all-1,ʔəiʔ,1506,false,expert,Peiros2004a,,,
Ong-1_all-1-1,Ong-1_all-1,paŋ ʔəjʔ,1506,false,expert,Peiros2004a,,,
Taoi-1_all-1-1,Taoi-1_all-1,ʔəjʔ.A sɔŋ.A,1506,false,expert,Peiros2004a,,,
Nge-1_all-1-1,Nge-1_all-1,toc,0,false,expert,Peiros2004a,,,
Kui-1_all-1-1,Kui-1_all-1,chim.B,3411,false,expert,Peiros2004a,,,
Neu-1_all-1-1,Neu-1_all-1,thəŋsim,3411,false,expert,Peiros2004a,,,
Bru-1_all-1-1,Bru-1_all-1,pəbət,3410,false,expert,Peiros2004a,,,
Mak-1_all-1-1,Mak-1_all-1,ɛtɲɛʔ,3011,false,expert,Peiros2004a,,,
So-1_all-1-1,So-1_all-1,ɲiʔ,3011,false,expert,Peiros2004a,,,
Tri-1_all-1-1,Tri-1_all-1,ɲɛʔ,3011,false,expert,Peiros2004a,,,
Nyakur-1_all-1-1,Nyakur-1_all-1,thaŋ.2,0,false,expert,Peiros2004a,,,
Mon-1_all-1-1,Mon-1_all-1,paʔuit,1506,false,expert,Peiros2004a,,,
Semelai-1_all-1-1,Semelai-1_all-1,səbəroh,519,false,expert,Peiros2004a,,,
SemoqBeri-1_all-1-1,SemoqBeri-1_all-1,nahroh,519,false,expert,Peiros2004a,,,
Kensiw-1_all-1-1,Kensiw-1_all-1,sʌdn mwãʔ,3800,false,expert,Peiros2004a,,,
Jahai-1_all-1-1,Jahai-1_all-1,səmwɛj,3800,false,expert,Peiros2004a,,,
Semai-1_all-1-1,Semai-1_all-1,dic,1514,false,expert,Peiros2004a,,,
Temiar-1_all-1-1,Temiar-1_all-1,kemböh,3801,false,expert,Peiros2004a,,,
Khmer-1_all-1-1,Khmer-1_all-1,daŋ,3006,false,expert,Peiros2004a,,,
KSurin-1_all-1-1,KSurin-1_all-1,tâŋ ʔâh,3006,false,expert,Peiros2004a,,,
ChongH-1_all-1-1,ChongH-1_all-1,taŋ.B at.A,0,false,expert,Peiros2004a,,,
Chong-1_all-1-1,Chong-1_all-1,thaŋ.C at.A,0,false,expert,Peiros2004a,,,
Kasong-1_all-1-1,Kasong-1_all-1,thaŋ.E ot.C,0,false,expert,Peiros2004a,,,
Samre-1_all-1-1,Samre-1_all-1,thaŋ.C at.A,0,false,expert,Peiros2004a,,,
PhongV-1_all-1-1,PhongV-1_all-1,ka.44 het.21,4527,false,expert,Peiros2004a,,,
Tuum-1_all-1-1,Tuum-1_all-1,ka.212 het.212,4527,false,expert,Peiros2004a,,,
Liha-1_all-1-1,Liha-1_all-1,ka.34 het.34,4527,false,expert,Peiros2004a,,,
Cuoi-1_all-1-1,Cuoi-1_all-1,mɔj.31,4528,false,expert,Peiros2004a,,,
Vietnamese-1_all-1-1,Vietnamese-1_all-1,caʔ,4529,false,expert,Peiros2004a,,,
MuongKoi-1_all-1-1,MuongKoi-1_all-1,ka.4,4529,false,expert,Peiros2004a,,,
ThoMon-1_all-1-1,ThoMon-1_all-1,mɔj.343ʔ,4528,false,expert,Peiros2004a,,,
Ruc-1_all-1-1,Ruc-1_all-1,hit.3,4527,false,expert,Peiros2004a,,,
KhaPhong-1_all-1-1,KhaPhong-1_all-1,suon.33,4531,false,expert,Peiros2004a,,,
Malieng-1_all-1-1,Malieng-1_all-1,bən.224,4530,false,expert,Peiros2004a,,,
ThavungSo-1_all-1-1,ThavungSo-1_all-1,hɨt.1,4527,false,expert,Peiros2004a,,,
Mang-1_all-1-1,Mang-1_all-1,plaŋ.51 plöʔ.35,3053,false,expert,Peiros2004a,,,
Paliu-1_all-1-1,Paliu-1_all-1,tu.33,3563,false,expert,Peiros2004a,,,
Bugan-1_all-1-1,Bugan-1_all-1,khɔŋ.T.13,4469,false,expert,Peiros2004a,,,
Khmu-1_all-1-1,Khmu-1_all-1,sam,1153,false,expert,Peiros2004a,,,
KxinhMul-1_all-1-1,KxinhMul-1_all-1,vien.45,4105,false,expert,Peiros2004a,,,
Ksinmul-1_all-1-1,Ksinmul-1_all-1,ʔe,1950,false,expert,Peiros2004a,,,
Khang-1_all-1-1,Khang-1_all-1,ʔan.32,1934,false,expert,Peiros2004a,,,
Bit-1_all-1-1,Bit-1_all-1,taŋkəm tə,1933,false,expert,Peiros2004a,,,
Mlabri-1_all-1-1,Mlabri-1_all-1,pa tok,4106,false,expert,Peiros2004a,,,
Pray-1_all-1-1,Pray-1_all-1,mot pɨŋ,4107,false,expert,Peiros2004a,,,
Iduh-1_all-1-1,Iduh-1_all-1,daŋlɛʔ,1508,false,expert,Peiros2004a,,,
Khamet-1_all-1-1,Khamet-1_all-1,ko.35,4465,false,expert,Peiros2004a,,,
Khme-1_all-1-1,Khme-1_all-1,tɨŋ.31 pɨt.33,3006,false,expert,Peiros2004a,,,
Shuangdiang-1_all-1-1,Shuangdiang-1_all-1,c̣am.33 kauk.31,4465,false,expert,Peiros2004a,,,
Yongde-1_all-1-1,Yongde-1_all-1,ho.31 lɛn.51,4449,false,expert,Peiros2004a,,,
Mangan-1_all-1-1,Mangan-1_all-1,ćhaŋ.33 kɔk.33,4465,false,expert,Peiros2004a,,,
Plang-1_all-1-1,Plang-1_all-1,taŋ.31 ʔəik.51,1506,false,expert,Peiros2004a,,,
