ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource,SubGroup
Bugan,Bugan,buga1247,,bbh,,23.61242,104.96286,Austro-Asiatic,Bugan,MANGIC
Mang,Mang,mang1378,,zng,,22.37722,103.14238,Austro-Asiatic,Mang,MANGIC
Paliu,Paliu,,,,,,,Austro-Asiatic,Paliu,MANGIC
Mon,Mon,monn1252,,mnw,,15.81271,97.89369,Austro-Asiatic,Mon,MONIC
Nyakur,Nyakur,nyah1250,,,,15.89091,101.51465,Austro-Asiatic,Nyakur,MONIC
Bonda,Bonda,bond1245,,bfw,,19.15124,83.81415,Austro-Asiatic,Bonda,MUNDA
Juang,Juang,juan1238,,jun,,21.26064,85.58452,Austro-Asiatic,Juang,MUNDA
Kharia,Kharia,khar1287,,khr,,22.35712,84.39219,Austro-Asiatic,Kharia,MUNDA
Korku,Korku,kork1243,,kfq,,21.83579,77.55409,Austro-Asiatic,Korku,MUNDA
Mundari,Mundari,mund1320,,unr,,22.5517,85.09258,Austro-Asiatic,Mundari,MUNDA
Parengi,Parengi,pare1266,,pcj,,19.07501,83.97234,Austro-Asiatic,Parengi,MUNDA
Santali,Santali,sant1410,,sat,,23.9076,87.11775,Austro-Asiatic,Santali,MUNDA
Sora,Sora,sora1254,,srb,,19.12127,84.19005,Austro-Asiatic,Sora,MUNDA
Car,Car,carn1240,,caq,,9.18853,92.76706,Austro-Asiatic,Car,NICOBARIC
Nancawri,Nancawri,nanc1247,,ncb,,7.94812,93.39208,Austro-Asiatic,Nancawri,NICOBARIC
Deang,De'ang,,,,,,,Austro-Asiatic,Deang,PALAUNGWA
Gantang,Gantang,,,,,,,Austro-Asiatic,Gantang,PALAUNGWA
Guanshuang,Guanshuang,,,,,,,Austro-Asiatic,Guanshuang,PALAUNGWA
Hu,Hu,huuu1240,,huo,,23.37,101.75,Austro-Asiatic,Hu,PALAUNGWA
Khamet,Khamet,,,,,,,Austro-Asiatic,Khamet,PALAUNGWA
Khme,Khme,,,,,,,Austro-Asiatic,Khme,PALAUNGWA
Mane,Man'e,,,,,,,Austro-Asiatic,Mane,PALAUNGWA
Mangan,Mang'an,,,,,,,Austro-Asiatic,Mangan,PALAUNGWA
Pangpin,Pangpin,,,,,,,Austro-Asiatic,Pangpin,PALAUNGWA
Plang,Plang,,,,,,,Austro-Asiatic,Plang,PALAUNGWA
Rumai,Rumai,ruma1248,,rbb,,23.13363,96.67992,Austro-Asiatic,Rumai,PALAUNGWA
Shuangdiang,Shuangdiang,,,,,,,Austro-Asiatic,Shuangdiang,PALAUNGWA
Wa,Wa,,,,,,,Austro-Asiatic,Wa,PALAUNGWA
Yongde,Yongde,,,,,,,Austro-Asiatic,Yongde,PALAUNGWA
Chong,Chong,chon1284,,cog,,12.7267,102.232,Austro-Asiatic,Chong,PEARIC
ChongH,Chong-H,chon1284,,cog,,12.7267,102.232,Austro-Asiatic,ChongH,PEARIC
Kasong,Kasong,cent2314,,cog,,12.87518,102.16769,Austro-Asiatic,Kasong,PEARIC
Samre,Samre,somr1240,,sxm,,13.47899,103.978,Austro-Asiatic,Samre,PEARIC
Arem,Arem,,,,,,,Austro-Asiatic,Arem,VIETIC
Cuoi,Cuoi,,,,,,,Austro-Asiatic,Cuoi,VIETIC
KhaPhong,KhaPhong,,,,,,,Austro-Asiatic,KhaPhong,VIETIC
Liha,Liha,,,,,,,Austro-Asiatic,Liha,VIETIC
Malieng,Malieng,mali1278,,pkt,,17.94469,105.67464,Austro-Asiatic,Malieng,VIETIC
MuongKoi,MuongKoi,,,,,,,Austro-Asiatic,MuongKoi,VIETIC
PhongV,Phong(V),,,,,,,Austro-Asiatic,PhongV,VIETIC
Ruc,Ruc,rucc1239,,scb,,17.986,105.658,Austro-Asiatic,Ruc,VIETIC
Thavung,Thavung,,,thm,,,,Austro-Asiatic,Thavung,VIETIC
ThavungSo,ThavungSo,,,thm,,,,Austro-Asiatic,ThavungSo,VIETIC
Tuum,Tuum,,,,,,,Austro-Asiatic,Tuum,VIETIC
Vietnamese,Vietnamese,viet1252,,vie,,17.11945,106.91747,Austro-Asiatic,Vietnamese,VIETIC
ThoMon,Tho Mon,,,,,,,Austro-Asiatic,ThoMon,VIETIC
