ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,LoanSource
Tuum-1_all-1,,Tuum,1_all,ka.212 het.212,ka.212 het.212,,,Peiros2004a,,false,
Liha-1_all-1,,Liha,1_all,ka.34 het.34,ka.34 het.34,,,Peiros2004a,,false,
Cuoi-1_all-1,,Cuoi,1_all,mɔj.31,mɔj.31,,,Peiros2004a,,false,
Vietnamese-1_all-1,,Vietnamese,1_all,caʔ,caʔ,,,Peiros2004a,,false,
MuongKoi-1_all-1,,MuongKoi,1_all,ka.4,ka.4,,,Peiros2004a,,false,
ThoMon-1_all-1,,ThoMon,1_all,mɔj.343ʔ,mɔj.343ʔ,,,Peiros2004a,,false,
Ruc-1_all-1,,Ruc,1_all,hit.3,hit.3,,,Peiros2004a,,false,
KhaPhong-1_all-1,,KhaPhong,1_all,suon.33,suon.33,,,Peiros2004a,,false,
Malieng-1_all-1,,Malieng,1_all,bən.224,bən.224,,,Peiros2004a,,false,
ThavungSo-1_all-1,,ThavungSo,1_all,hɨt.1,hɨt.1,,,Peiros2004a,,false,
Mang-1_all-1,,Mang,1_all,plaŋ.51 plöʔ.35,plaŋ.51 plöʔ.35,,,Peiros2004a,,false,
Paliu-1_all-1,,Paliu,1_all,tu.33,tu.33,,,Peiros2004a,,false,
Bugan-1_all-1,,Bugan,1_all,khɔŋ.T.13,khɔŋ.T.13,,,Peiros2004a,,false,
Khmu-1_all-1,,Khmu,1_all,sam,sam,,,Peiros2004a,,false,
KxinhMul-1_all-1,,KxinhMul,1_all,vien.45,vien.45,,,Peiros2004a,,false,
Ksinmul-1_all-1,,Ksinmul,1_all,ʔe,ʔe,,,Peiros2004a,,false,
Khang-1_all-1,,Khang,1_all,ʔan.32,ʔan.32,,,Peiros2004a,,false,
Bit-1_all-1,,Bit,1_all,taŋkəm tə,taŋkəm tə,,,Peiros2004a,,false,
Mlabri-1_all-1,,Mlabri,1_all,pa tok,pa tok,,,Peiros2004a,,false,
Pray-1_all-1,,Pray,1_all,mot pɨŋ,mot pɨŋ,,,Peiros2004a,,false,
Iduh-1_all-1,,Iduh,1_all,daŋlɛʔ,daŋlɛʔ,,,Peiros2004a,,false,
Khamet-1_all-1,,Khamet,1_all,ko.35,ko.35,,,Peiros2004a,,false,
Khme-1_all-1,,Khme,1_all,tɨŋ.31 pɨt.33,tɨŋ.31 pɨt.33,,,Peiros2004a,,false,
Shuangdiang-1_all-1,,Shuangdiang,1_all,c̣am.33 kauk.31,c̣am.33 kauk.31,,,Peiros2004a,,false,
Yongde-1_all-1,,Yongde,1_all,ho.31 lɛn.51,ho.31 lɛn.51,,,Peiros2004a,,false,
Mangan-1_all-1,,Mangan,1_all,ćhaŋ.33 kɔk.33,ćhaŋ.33 kɔk.33,,,Peiros2004a,,false,
Plang-1_all-1,,Plang,1_all,taŋ.31 ʔəik.51,taŋ.31 ʔəik.51,,,Peiros2004a,,false,
Wa-1_all-1,,Wa,1_all,khɔm.A ʔuik.A,khɔm.A ʔuik.A,,,Peiros2004a,,false,
Guanshuang-1_all-1,,Guanshuang,1_all,uik.1,uik.1,,,Peiros2004a,,false,
Mane-1_all-1,,Mane,1_all,əik.1,əik.1,,,Peiros2004a,,false,
Deang-1_all-1,,Deang,1_all,pai tur,pai tur,,,Peiros2004a,,false,
Rumai-1_all-1,,Rumai,1_all,pa.55 pɛ.55 mɛh,pa.55 pɛ.55 mɛh,,,Peiros2004a,,false,
Khasi-1_all-1,,Khasi,1_all,baroh,baroh,,,Peiros2004a,,false,
Kharia-1_all-1,,Kharia,1_all,sab,sab,,,Peiros2004a,,true,IND
Juang-1_all-1,,Juang,1_all,sabroi,sabroi,,,Peiros2004a,,true,Hindi
Bonda-1_all-1,,Bonda,1_all,gulay,gulay,,,Peiros2004a,,false,
Sora-1_all-1,,Sora,1_all,kudub,kudub,,,Peiros2004a,,false,
Parengi-1_all-1,,Parengi,1_all,sobu ,sobu,,,Peiros2004a,,false,
Santali-1_all-1,,Santali,1_all,ʒoto,ʒoto,,,Peiros2004a,,false,
Mundari-1_all-1,,Mundari,1_all,soben ,soben,,,Peiros2004a,,false,
Korku-1_all-1,,Korku,1_all,par,par,,,Peiros2004a,,false,
Nancawri-1_all-1,,Nancawri,1_all,ʔum-túm,ʔum-túm,,,Peiros2004a,,false,
MDip-1_all-2,,MDip,1_all,dɨŋ ndə,dɨŋ ndə,,,Peiros2004a,,false,
