ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,LoanSource
Santali-23_eat-1,,Santali,23_eat,ʒom,ʒom,,,Peiros2004a,,false,
Mundari-23_eat-1,,Mundari,23_eat,ʒom,ʒom,,,Peiros2004a,,false,
Korku-23_eat-1,,Korku,23_eat,ʒom,ʒom,,,Peiros2004a,,false,
Car-23_eat-1,,Car,23_eat,ɲa,ɲa,,,Peiros2004a,,false,
Nancawri-23_eat-1,,Nancawri,23_eat,ok-ŋôk (M),ok-ŋôk,,,Peiros2004a,,false,
Stieng-24_egg-1,,Stieng,24_egg,tap,tap,,,Peiros2004a,,false,
Chrau-24_egg-1,,Chrau,24_egg,cap,cap,,,Peiros2004a,,false,
MRolom-24_egg-1,,MRolom,24_egg,tap,tap,,,Peiros2004a,,false,
MBunong-24_egg-1,,MBunong,24_egg,tap,tap,,,Peiros2004a,,false,
MDip-24_egg-1,,MDip,24_egg,tap,tap,,,Peiros2004a,,false,
Ma1-24_egg-1,,Ma1,24_egg,tap,tap,,,Peiros2004a,,false,
Ma2-24_egg-1,,Ma2,24_egg,təp,təp,,,Peiros2004a,,false,
Sre-24_egg-1,,Sre,24_egg,tap,tap,,,Peiros2004a,,false,
KahoChil-24_egg-1,,KahoChil,24_egg,tap,tap,,,Peiros2004a,,false,
KorCua-24_egg-1,,KorCua,24_egg,katap,katap,,,Peiros2004a,,false,
Kadong-24_egg-1,,Kadong,24_egg,tap,tap,,,Peiros2004a,,false,
Hadang-24_egg-1,,Hadang,24_egg,tap,tap,,,Peiros2004a,,false,
Hre-24_egg-1,,Hre,24_egg,katap,katap,,,Peiros2004a,,false,
Rengao-24_egg-1,,Rengao,24_egg,kətao.T,kətao.T,,,Peiros2004a,,false,
Didra-24_egg-1,,Didra,24_egg,chtaʔ,chtaʔ,,,Peiros2004a,,false,
Sedang-24_egg-1,,Sedang,24_egg,kəta.L,kəta.L,,,Peiros2004a,,false,
Panong-24_egg-1,,Panong,24_egg,katap,katap,,,Peiros2004a,,false,
Halang-24_egg-1,,Halang,24_egg,kətap,kətap,,,Peiros2004a,,false,
Jeh-24_egg-1,,Jeh,24_egg,tətap,tətap,,,Peiros2004a,,false,
Veh-24_egg-1,,Veh,24_egg,klɛh,klɛh,,,Peiros2004a,,false,
Je-24_egg-1,,Je,24_egg,hlɛ.35,hlɛ.35,,,Peiros2004a,,false,
Arak-24_egg-1,,Arak,24_egg,kəntap,kəntap,,,Peiros2004a,,false,
Bahnar-24_egg-1,,Bahnar,24_egg,kətap,kətap,,,Peiros2004a,,false,
Tempuan-24_egg-1,,Tempuan,24_egg,kətap,kətap,,,Peiros2004a,,false,
Oy-24_egg-1,,Oy,24_egg,tlɛ,tlɛ,,,Peiros2004a,,false,
Nhaheun-24_egg-1,,Nhaheun,24_egg,klɛ,klɛ,,,Peiros2004a,,false,
Jru-24_egg-1,,Jru,24_egg,klɛ,klɛ,,,Peiros2004a,,false,
Tariang-24_egg-1,,Tariang,24_egg,lɛh,lɛh,,,Peiros2004a,,false,
Kantu-24_egg-1,,Kantu,24_egg,trərɛal,trərɛal,,,Peiros2004a,,false,
Katu-24_egg-1,,Katu,24_egg,akɔn,akɔn,,,Peiros2004a,,false,
Dakkang-24_egg-1,,Dakkang,24_egg,kəlih,kəlih,,,Peiros2004a,,false,
LaoKatu-24_egg-1,,LaoKatu,24_egg,kəlɔŋ,kəlɔŋ,,,Peiros2004a,,false,
Pakoh-24_egg-1,,Pakoh,24_egg,trial.T,trial.T,,,Peiros2004a,,false,
Taoih-24_egg-1,,Taoih,24_egg,akɔn,akɔn,,,Peiros2004a,,false,
Ong-24_egg-1,,Ong,24_egg,triəl,triəl,,,Peiros2004a,,false,
Taoi-24_egg-1,,Taoi,24_egg,trial.C,trial.C,,,Peiros2004a,,false,
Nge-24_egg-1,,Nge,24_egg,tare,tare,,,Peiros2004a,,false,
Kui-24_egg-1,,Kui,24_egg,nthrel.B,nthrel.B,,,Peiros2004a,,false,
Neu-24_egg-1,,Neu,24_egg,liə.B,liə.B,,,Peiros2004a,,false,
Bru-24_egg-1,,Bru,24_egg,ntrel.B,ntrel.B,,,Peiros2004a,,false,
BruVK-24_egg-1,,BruVK,24_egg,tarel.N,tarel.N,,,Peiros2004a,,false,
Mak-24_egg-1,,Mak,24_egg,ntriəl,ntriəl,,,Peiros2004a,,false,
So-24_egg-1,,So,24_egg,cirɛl,cirɛl,,,Peiros2004a,,false,
Tri-24_egg-1,,Tri,24_egg,ntrɛəl,ntrɛəl,,,Peiros2004a,,false,
Nyakur-24_egg-1,,Nyakur,24_egg,phɔŋ.2,phɔŋ.2,,,Peiros2004a,,true,KMR
Mon-24_egg-1,,Mon,24_egg,khəmai,khəmai,,,Peiros2004a,,false,
Semelai-24_egg-1,,Semelai,24_egg,kapɔh,kapɔh,,,Peiros2004a,,false,
SemoqBeri-24_egg-1,,SemoqBeri,24_egg,kapɔh,kapɔh,,,Peiros2004a,,false,
Kensiw-24_egg-1,,Kensiw,24_egg,makɔʔ,makɔʔ,,,Peiros2004a,,false,
Jahai-24_egg-1,,Jahai,24_egg,makɔʔ,makɔʔ,,,Peiros2004a,,false,
JahHut-24_egg-1,,JahHut,24_egg,pəŋluŋ,pəŋluŋ,,,Peiros2004a,,false,
Semai-24_egg-1,,Semai,24_egg,pŋləkŋ,pŋləkŋ,,,Peiros2004a,,false,
Temiar-24_egg-1,,Temiar,24_egg,tab,tab,,,Peiros2004a,,false,
Khmer-24_egg-1,,Khmer,24_egg,bɔŋ,bɔŋ,,,Peiros2004a,,false,
KSurin-24_egg-1,,KSurin,24_egg,puəŋ,puəŋ,,,Peiros2004a,,false,
ChongH-24_egg-1,,ChongH,24_egg,toŋ.A,toŋ.A,,,Peiros2004a,,false,
Chong-24_egg-1,,Chong,24_egg,tuŋ.A,tuŋ.A,,,Peiros2004a,,false,
Kasong-24_egg-1,,Kasong,24_egg,tuŋ.A,tuŋ.A,,,Peiros2004a,,false,
Samre-24_egg-1,,Samre,24_egg,tuŋ.A,tuŋ.A,,,Peiros2004a,,false,
PhongV-24_egg-1,,PhongV,24_egg,kləŋ.44,kləŋ.44,,,Peiros2004a,,false,
Tuum-24_egg-1,,Tuum,24_egg,kləɨŋ.212,kləɨŋ.212,,,Peiros2004a,,false,
Liha-24_egg-1,,Liha,24_egg,kləŋ.34,kləŋ.34,,,Peiros2004a,,false,
Cuoi-24_egg-1,,Cuoi,24_egg,kləŋ.34,kləŋ.34,,,Peiros2004a,,false,
Vietnamese-24_egg-1,,Vietnamese,24_egg,trứng,trứng,,,Peiros2004a,,false,
MuongKoi-24_egg-1,,MuongKoi,24_egg,tləŋ.3,tləŋ.3,,,Peiros2004a,,false,
ThoMon-24_egg-1,,ThoMon,24_egg,ṭəŋ.343ʔ,ṭəŋ.343ʔ,,,Peiros2004a,,false,
Ruc-24_egg-1,,Ruc,24_egg,tulurh.3,tulurh.3,,,Peiros2004a,,false,
Arem-24_egg-1,,Arem,24_egg,ulUlʔ,ulUlʔ,,,Peiros2004a,,false,
KhaPhong-24_egg-1,,KhaPhong,24_egg,tarur.33,tarur.33,,,Peiros2004a,,false,
Malieng-24_egg-1,,Malieng,24_egg,tluɨ.33,tluɨ.33,,,Peiros2004a,,false,
ThavungSo-24_egg-1,,ThavungSo,24_egg,talun.2,talun.2,,,Peiros2004a,,false,
Thavung-24_egg-1,,Thavung,24_egg,taʔlûnʔ.B,taʔlûnʔ.B,,,Peiros2004a,,false,
Mang-24_egg-1,,Mang,24_egg,gɣua.35,gɣua.35,,,Peiros2004a,,true,MIAO
Paliu-24_egg-1,,Paliu,24_egg,tham.13,tham.13,,,Peiros2004a,,false,
Bugan-24_egg-1,,Bugan,24_egg,tham.33,tham.33,,,Peiros2004a,,false,
Khmu-24_egg-1,,Khmu,24_egg,kədoŋ,kədoŋ,,,Peiros2004a,,false,
KxinhMul-24_egg-1,,KxinhMul,24_egg,kəlɔŋ.45,kəlɔŋ.45,,,Peiros2004a,,false,
Ksinmul-24_egg-1,,Ksinmul,24_egg,kloŋ,kloŋ,,,Peiros2004a,,false,
Khang-24_egg-1,,Khang,24_egg,kloŋ.45,kloŋ.45,,,Peiros2004a,,false,
Bit-24_egg-1,,Bit,24_egg,kɨdaŋ,kɨdaŋ,,,Peiros2004a,,false,
Mlabri-24_egg-1,,Mlabri,24_egg,khaj,khaj,,,Peiros2004a,,true,TAI
Pray-24_egg-1,,Pray,24_egg,tɔŋ,tɔŋ,,,Peiros2004a,,false,
Phong-24_egg-1,,Phong,24_egg,plɛ,plɛ,,,Peiros2004a,,false,
Iduh-24_egg-1,,Iduh,24_egg,plâ,plâ,,,Peiros2004a,,false,
Hu-24_egg-1,,Hu,24_egg,n tham.55,n tham.55,,,Peiros2004a,,false,
Khamet-24_egg-1,,Khamet,24_egg,tham.35,tham.35,,,Peiros2004a,,false,
Khme-24_egg-1,,Khme,24_egg,tham.33,tham.33,,,Peiros2004a,,false,
Shuangdiang-24_egg-1,,Shuangdiang,24_egg,dhap.33,dhap.33,,,Peiros2004a,,false,
Yongde-24_egg-1,,Yongde,24_egg,phap.13,phap.13,,,Peiros2004a,,false,
Pangpin-24_egg-1,,Pangpin,24_egg,dhap.55,dhap.55,,,Peiros2004a,,false,
Gantang-24_egg-1,,Gantang,24_egg,thap.31,thap.31,,,Peiros2004a,,false,
Mangan-24_egg-1,,Mangan,24_egg,nthap.55,nthap.55,,,Peiros2004a,,false,
Plang-24_egg-1,,Plang,24_egg,ka.31 tɔm.33,ka.31 tɔm.33,,,Peiros2004a,,false,
Wa-24_egg-1,,Wa,24_egg,tɔm,tɔm,,,Peiros2004a,,false,
Guanshuang-24_egg-1,,Guanshuang,24_egg,tom.1,tom.1,,,Peiros2004a,,false,
Mane-24_egg-1,,Mane,24_egg,tɔm.1,tɔm.1,,,Peiros2004a,,false,
Deang-24_egg-1,,Deang,24_egg,krau,krau,,,Peiros2004a,,true,TAI
Rumai-24_egg-1,,Rumai,24_egg,bən.412,bən.412,,,Peiros2004a,,false,
Khasi-24_egg-1,,Khasi,24_egg,pylleŋ,pylleŋ,,,Peiros2004a,,false,
Kharia-24_egg-1,,Kharia,24_egg,anḍa,anḍa,,,Peiros2004a,,true,IND
Juang-24_egg-1,,Juang,24_egg,susuteḍ,susuteḍ,,,Peiros2004a,,false,
Bonda-24_egg-1,,Bonda,24_egg,ntɔʔ,ntɔʔ,,,Peiros2004a,,false,
Sora-24_egg-1,,Sora,24_egg,'ar-re,'ar-re,,,Peiros2004a,,false,
Parengi-24_egg-1,,Parengi,24_egg,ariʔ,ariʔ,,,Peiros2004a,,false,
Santali-24_egg-1,,Santali,24_egg,bele,bele,,,Peiros2004a,,false,
Mundari-24_egg-1,,Mundari,24_egg,ʒarom,ʒarom,,,Peiros2004a,,false,
Korku-24_egg-1,,Korku,24_egg,atkom,atkom,,,Peiros2004a,,false,
Car-24_egg-1,,Car,24_egg,u-hə,u-hə,,,Peiros2004a,,false,
Nancawri-24_egg-1,,Nancawri,24_egg,hujáʔ,hujáʔ,,,Peiros2004a,,false,
Stieng-25_eye-1,,Stieng,25_eye,mat,mat,,,Peiros2004a,,false,
Chrau-25_eye-1,,Chrau,25_eye,mat,mat,,,Peiros2004a,,false,
MRolom-25_eye-1,,MRolom,25_eye,mat,mat,,,Peiros2004a,,false,
MBunong-25_eye-1,,MBunong,25_eye,mat,mat,,,Peiros2004a,,false,
MDip-25_eye-1,,MDip,25_eye,mat,mat,,,Peiros2004a,,false,
Ma1-25_eye-1,,Ma1,25_eye,mat,mat,,,Peiros2004a,,false,
Ma2-25_eye-1,,Ma2,25_eye,mat,mat,,,Peiros2004a,,false,
Sre-25_eye-1,,Sre,25_eye,mat,mat,,,Peiros2004a,,false,
KahoChil-25_eye-1,,KahoChil,25_eye,mat,mat,,,Peiros2004a,,false,
KorCua-25_eye-1,,KorCua,25_eye,mat,mat,,,Peiros2004a,,false,
Kadong-25_eye-1,,Kadong,25_eye,mat,mat,,,Peiros2004a,,false,
Hadang-25_eye-1,,Hadang,25_eye,mat,mat,,,Peiros2004a,,false,
Hre-25_eye-1,,Hre,25_eye,mat,mat,,,Peiros2004a,,false,
Rengao-25_eye-1,,Rengao,25_eye,mat.T,mat.T,,,Peiros2004a,,false,
Didra-25_eye-1,,Didra,25_eye,maʔ,maʔ,,,Peiros2004a,,false,
Sedang-25_eye-1,,Sedang,25_eye,ma.L,ma.L,,,Peiros2004a,,false,
Panong-25_eye-1,,Panong,25_eye,maʔ,maʔ,,,Peiros2004a,,false,
Halang-25_eye-1,,Halang,25_eye,mat,mat,,,Peiros2004a,,false,
Jeh-25_eye-1,,Jeh,25_eye,mat.T,mat.T,,,Peiros2004a,,false,
Veh-25_eye-1,,Veh,25_eye,mat,mat,,,Peiros2004a,,false,
Je-25_eye-1,,Je,25_eye,mat.35,mat.35,,,Peiros2004a,,false,
Arak-25_eye-1,,Arak,25_eye,mat,mat,,,Peiros2004a,,false,
Bahnar-25_eye-1,,Bahnar,25_eye,mat,mat,,,Peiros2004a,,false,
Tempuan-25_eye-1,,Tempuan,25_eye,mat,mat,,,Peiros2004a,,false,
Oy-25_eye-1,,Oy,25_eye,mat,mat,,,Peiros2004a,,false,
Nhaheun-25_eye-1,,Nhaheun,25_eye,mat,mat,,,Peiros2004a,,false,
Jru-25_eye-1,,Jru,25_eye,mat,mat,,,Peiros2004a,,false,
Tariang-25_eye-1,,Tariang,25_eye,mat,mat,,,Peiros2004a,,false,
Kantu-25_eye-1,,Kantu,25_eye,mat,mat,,,Peiros2004a,,false,
Katu-25_eye-1,,Katu,25_eye,mat,mat,,,Peiros2004a,,false,
Dakkang-25_eye-1,,Dakkang,25_eye,mat,mat,,,Peiros2004a,,false,
LaoKatu-25_eye-1,,LaoKatu,25_eye,mat,mat,,,Peiros2004a,,false,
Pakoh-25_eye-1,,Pakoh,25_eye,mat,mat,,,Peiros2004a,,false,
Taoih-25_eye-1,,Taoih,25_eye,mat,mat,,,Peiros2004a,,false,
Ong-25_eye-1,,Ong,25_eye,man.N,man.N,,,Peiros2004a,,false,
Taoi-25_eye-1,,Taoi,25_eye,manʔ.A,manʔ.A,,,Peiros2004a,,false,
Nge-25_eye-1,,Nge,25_eye,mat,mat,,,Peiros2004a,,false,
Kui-25_eye-1,,Kui,25_eye,mat.B,mat.B,,,Peiros2004a,,false,
Neu-25_eye-1,,Neu,25_eye,mat,mat,,,Peiros2004a,,false,
Bru-25_eye-1,,Bru,25_eye,mat.B,mat.B,,,Peiros2004a,,false,
BruVK-25_eye-1,,BruVK,25_eye,məat,məat,,,Peiros2004a,,false,
Mak-25_eye-1,,Mak,25_eye,mat,mat,,,Peiros2004a,,false,
So-25_eye-1,,So,25_eye,mat,mat,,,Peiros2004a,,false,
Tri-25_eye-1,,Tri,25_eye,məat,məat,,,Peiros2004a,,false,
Nyakur-25_eye-1,,Nyakur,25_eye,mat.2,mat.2,,,Peiros2004a,,false,
Mon-25_eye-1,,Mon,25_eye,mat,mat,,,Peiros2004a,,false,
Semelai-25_eye-1,,Semelai,25_eye,mɔt,mɔt,,,Peiros2004a,,false,
SemoqBeri-25_eye-1,,SemoqBeri,25_eye,mad,mad,,,Peiros2004a,,false,
Kensiw-25_eye-1,,Kensiw,25_eye,met,met,,,Peiros2004a,,false,
Jahai-25_eye-1,,Jahai,25_eye,mit,mit,,,Peiros2004a,,false,
JahHut-25_eye-1,,JahHut,25_eye,mat,mat,,,Peiros2004a,,false,
Semai-25_eye-1,,Semai,25_eye,mat,mat,,,Peiros2004a,,false,
Temiar-25_eye-1,,Temiar,25_eye,mad,mad,,,Peiros2004a,,false,
Khmer-25_eye-1,,Khmer,25_eye,bhənɛk,bhənɛk,,,Peiros2004a,,false,
KSurin-25_eye-1,,KSurin,25_eye,phneʔ,phneʔ,,,Peiros2004a,,false,
ChongH-25_eye-1,,ChongH,25_eye,mət.B,mət.B,,,Peiros2004a,,false,
Chong-25_eye-1,,Chong,25_eye,mət.C,mət.C,,,Peiros2004a,,false,
Kasong-25_eye-1,,Kasong,25_eye,mat.A,mat.A,,,Peiros2004a,,false,
Samre-25_eye-1,,Samre,25_eye,mat.B,mat.B,,,Peiros2004a,,false,
PhongV-25_eye-1,,PhongV,25_eye,mat.44,mat.44,,,Peiros2004a,,false,
Tuum-25_eye-1,,Tuum,25_eye,klaoŋ.33 mat.33,klaoŋ.33 mat.33,,,Peiros2004a,,false,
Liha-25_eye-1,,Liha,25_eye,kloŋ.43 mat.31,kloŋ.43 mat.31,,,Peiros2004a,,false,
Cuoi-25_eye-1,,Cuoi,25_eye,mat.31,mat.31,,,Peiros2004a,,false,
Vietnamese-25_eye-1,,Vietnamese,25_eye,mắt,mắt,,,Peiros2004a,,false,
MuongKoi-25_eye-1,,MuongKoi,25_eye,mat.5,mat.5,,,Peiros2004a,,false,
ThoMon-25_eye-1,,ThoMon,25_eye,mat.35,mat.35,,,Peiros2004a,,false,
Ruc-25_eye-1,,Ruc,25_eye,məʌt.4,məʌt.4,,,Peiros2004a,,false,
Arem-25_eye-1,,Arem,25_eye,mầt,mầt,,,Peiros2004a,,false,
KhaPhong-25_eye-1,,KhaPhong,25_eye,mat.13,mat.13,,,Peiros2004a,,false,
Malieng-25_eye-1,,Malieng,25_eye,mət.213,mət.213,,,Peiros2004a,,false,
ThavungSo-25_eye-1,,ThavungSo,25_eye,khalɔŋ.3,khalɔŋ.3,,,Peiros2004a,,false,
Thavung-25_eye-1,,Thavung,25_eye,mat,mat,,,Peiros2004a,,false,
Mang-25_eye-1,,Mang,25_eye,mat.51,mat.51,,,Peiros2004a,,false,
Paliu-25_eye-1,,Paliu,25_eye,ɫai.53 mat.31,ɫai.53 mat.31,,,Peiros2004a,,false,
Bugan-25_eye-1,,Bugan,25_eye,pə.55 mɛ.33,pə.55 mɛ.33,,,Peiros2004a,,false,
Khmu-25_eye-1,,Khmu,25_eye,mat,mat,,,Peiros2004a,,false,
KxinhMul-25_eye-1,,KxinhMul,25_eye,kɛn.45 mat.45,kɛn.45 mat.45,,,Peiros2004a,,false,
Ksinmul-25_eye-1,,Ksinmul,25_eye,mat,mat,,,Peiros2004a,,false,
Khang-25_eye-1,,Khang,25_eye,kɛn.33 ŋaj.45 ,kɛn.33 ŋaj.45,,,Peiros2004a,,false,
Bit-25_eye-1,,Bit,25_eye,pəŋŋai ,pəŋŋai,,,Peiros2004a,,false,
Mlabri-25_eye-1,,Mlabri,25_eye,mat,mat,,,Peiros2004a,,false,
Pray-25_eye-1,,Pray,25_eye,kɛn mat,kɛn mat,,,Peiros2004a,,false,
Phong-25_eye-1,,Phong,25_eye,mat,mat,,,Peiros2004a,,false,
Iduh-25_eye-1,,Iduh,25_eye,mɔɛʔ,mɔɛʔ,,,Peiros2004a,,false,
Hu-25_eye-1,,Hu,25_eye,çak.55 ŋai.33,çak.55 ŋai.33,,,Peiros2004a,,false,
Khamet-25_eye-1,,Khamet,25_eye,saʔ.53 ŋai.31,saʔ.53 ŋai.31,,,Peiros2004a,,false,
Khme-25_eye-1,,Khme,25_eye,sak.55 ŋai.51,sak.55 ŋai.51,,,Peiros2004a,,false,
Shuangdiang-25_eye-1,,Shuangdiang,25_eye,ŋai.51,ŋai.51,,,Peiros2004a,,false,
Yongde-25_eye-1,,Yongde,25_eye,thu.31 ŋai.51,thu.31 ŋai.51,,,Peiros2004a,,false,
Pangpin-25_eye-1,,Pangpin,25_eye,ŋai.51,ŋai.51,,,Peiros2004a,,false,
Gantang-25_eye-1,,Gantang,25_eye,thu.31 ŋai.31,thu.31 ŋai.31,,,Peiros2004a,,false,
Mangan-25_eye-1,,Mangan,25_eye,ŋai.51,ŋai.51,,,Peiros2004a,,false,
Plang-25_eye-1,,Plang,25_eye,ŋai.33,ŋai.33,,,Peiros2004a,,false,
Wa-25_eye-1,,Wa,25_eye,ŋai,ŋai,,,Peiros2004a,,false,
Guanshuang-25_eye-1,,Guanshuang,25_eye,ŋai.1,ŋai.1,,,Peiros2004a,,false,
Mane-25_eye-1,,Mane,25_eye,ŋai.35,ŋai.35,,,Peiros2004a,,false,
Deang-25_eye-1,,Deang,25_eye,ŋai,ŋai,,,Peiros2004a,,false,
Rumai-25_eye-1,,Rumai,25_eye,ŋai.412,ŋai.412,,,Peiros2004a,,false,
Khasi-25_eye-1,,Khasi,25_eye,khymat,khymat,,,Peiros2004a,,false,
Kharia-25_eye-1,,Kharia,25_eye,moḍ,moḍ,,,Peiros2004a,,false,
Juang-25_eye-1,,Juang,25_eye,omoḍ,omoḍ,,,Peiros2004a,,false,
Bonda-25_eye-1,,Bonda,25_eye,mɔʔ,mɔʔ,,,Peiros2004a,,false,
Sora-25_eye-1,,Sora,25_eye,mʔod,mʔod,,,Peiros2004a,,false,
Parengi-25_eye-1,,Parengi,25_eye,maʔn,maʔn,,,Peiros2004a,,false,
Santali-25_eye-1,,Santali,25_eye,met,met,,,Peiros2004a,,false,
Mundari-25_eye-1,,Mundari,25_eye,med,med,,,Peiros2004a,,false,
Korku-25_eye-1,,Korku,25_eye,med,med,,,Peiros2004a,,false,
Car-25_eye-1,,Car,25_eye,mat,mat,,,Peiros2004a,,false,
Nancawri-25_eye-1,,Nancawri,25_eye,ʔumát,ʔumát,,,Peiros2004a,,false,
Tuum-25_eye-2,,Tuum,25_eye,klaoŋ.33 mat.33,klaoŋ.33 mat.33,,,Peiros2004a,,false,
Liha-25_eye-2,,Liha,25_eye,kloŋ.43 măt.31,kloŋ.43 măt.31,,,Peiros2004a,,false,
Stieng-26_fatn-1,,Stieng,26_fatn,wir,wir,,,Peiros2004a,,false,
Chrau-26_fatn-1,,Chrau,26_fatn,labaw,labaw,,,Peiros2004a,,false,
MRolom-26_fatn-1,,MRolom,26_fatn,ntrieŋ,ntrieŋ,,,Peiros2004a,,false,
MBunong-26_fatn-1,,MBunong,26_fatn,ndər ŋi,ndər ŋi,,,Peiros2004a,,false,
MDip-26_fatn-1,,MDip,26_fatn,ŋi,ŋi,,,Peiros2004a,,false,
Ma1-26_fatn-1,,Ma1,26_fatn,prajʔ,prajʔ,,,Peiros2004a,,false,
Ma2-26_fatn-1,,Ma2,26_fatn,prajʔ,prajʔ,,,Peiros2004a,,false,
Sre-26_fatn-1,,Sre,26_fatn,dəŋi,dəŋi,,,Peiros2004a,,false,
KahoChil-26_fatn-1,,KahoChil,26_fatn,təŋi,təŋi,,,Peiros2004a,,false,
KorCua-26_fatn-1,,KorCua,26_fatn,patɛk,patɛk,,,Peiros2004a,,false,
Kadong-26_fatn-1,,Kadong,26_fatn,ʔʒiŋ,ʔʒiŋ,,,Peiros2004a,,false,
Hadang-26_fatn-1,,Hadang,26_fatn,nʒiŋ,nʒiŋ,,,Peiros2004a,,false,
Hre-26_fatn-1,,Hre,26_fatn,ramaʔ,ramaʔ,,,Peiros2004a,,true,CHAM
Rengao-26_fatn-1,,Rengao,26_fatn,rəmaʔ,rəmaʔ,,,Peiros2004a,,true,CHAM
Didra-26_fatn-1,,Didra,26_fatn,nəmaʔ,nəmaʔ,,,Peiros2004a,,true,CHAM
Sedang-26_fatn-1,,Sedang,26_fatn,rəma.L,rəma.L,,,Peiros2004a,,true,CHAM
Panong-26_fatn-1,,Panong,26_fatn,diək,diək,,,Peiros2004a,,false,
Halang-26_fatn-1,,Halang,26_fatn,bədriaŋ,bədriaŋ,,,Peiros2004a,,false,
Jeh-26_fatn-1,,Jeh,26_fatn,pədreŋ.T,pədreŋ.T,,,Peiros2004a,,false,
Veh-26_fatn-1,,Veh,26_fatn,rəmaʔ,rəmaʔ,,,Peiros2004a,,true,CHAM
Arak-26_fatn-1,,Arak,26_fatn,khaj,khaj,,,Peiros2004a,,true,TAI
Bahnar-26_fatn-1,,Bahnar,26_fatn,rəmaʔ,rəmaʔ,,,Peiros2004a,,true,CHAM
Tempuan-26_fatn-1,,Tempuan,26_fatn,poŋ,poŋ,,,Peiros2004a,,false,
Nhaheun-26_fatn-1,,Nhaheun,26_fatn,klɛ puk,klɛ puk,,,Peiros2004a,,false,
Jru-26_fatn-1,,Jru,26_fatn,puk,puk,,,Peiros2004a,,false,
Tariang-26_fatn-1,,Tariang,26_fatn,ləŋ,ləŋ,,,Peiros2004a,,false,
Katu-26_fatn-1,,Katu,26_fatn,nsieŋ,nsieŋ,,,Peiros2004a,,false,
Dakkang-26_fatn-1,,Dakkang,26_fatn,həsiaŋ,həsiaŋ,,,Peiros2004a,,false,
LaoKatu-26_fatn-1,,LaoKatu,26_fatn,siaŋ,siaŋ,,,Peiros2004a,,false,
Pakoh-26_fatn-1,,Pakoh,26_fatn,nsɛŋ,nsɛŋ,,,Peiros2004a,,false,
Taoih-26_fatn-1,,Taoih,26_fatn,nsiaŋ.T,nsiaŋ.T,,,Peiros2004a,,false,
Ong-26_fatn-1,,Ong,26_fatn,hansɛm.B,hansɛm.B,,,Peiros2004a,,false,
Taoi-26_fatn-1,,Taoi,26_fatn,ɲchɛŋ.C,ɲchɛŋ.C,,,Peiros2004a,,false,
Nge-26_fatn-1,,Nge,26_fatn,nsieŋ,nsieŋ,,,Peiros2004a,,false,
Kui-26_fatn-1,,Kui,26_fatn,nchɛɲ.N,nchɛɲ.N,,,Peiros2004a,,false,
Neu-26_fatn-1,,Neu,26_fatn,sɛŋ,sɛŋ,,,Peiros2004a,,false,
Bru-26_fatn-1,,Bru,26_fatn,nsiŋ.N,nsiŋ.N,,,Peiros2004a,,false,
BruVK-26_fatn-1,,BruVK,26_fatn,nseŋ.T,nseŋ.T,,,Peiros2004a,,false,
Mak-26_fatn-1,,Mak,26_fatn,nchiŋ,nchiŋ,,,Peiros2004a,,false,
So-26_fatn-1,,So,26_fatn,nsɛŋ,nsɛŋ,,,Peiros2004a,,false,
Tri-26_fatn-1,,Tri,26_fatn,nsɛŋ,nsɛŋ,,,Peiros2004a,,false,
Nyakur-26_fatn-1,,Nyakur,26_fatn,kəliɲ.1,kəliɲ.1,,,Peiros2004a,,false,
Mon-26_fatn-1,,Mon,26_fatn,"kleŋ, tleŋ",kleŋ,,,Peiros2004a,,false,
Semelai-26_fatn-1,,Semelai,26_fatn,bəcuʔ,bəcuʔ,,,Peiros2004a,,false,
SemoqBeri-26_fatn-1,,SemoqBeri,26_fatn,bəcuʔ,bəcuʔ,,,Peiros2004a,,false,
Kensiw-26_fatn-1,,Kensiw,26_fatn,tɔc,tɔc,,,Peiros2004a,,false,
Jahai-26_fatn-1,,Jahai,26_fatn,gəmuʔ,gəmuʔ,,,Peiros2004a,,true,MALAY
JahHut-26_fatn-1,,JahHut,26_fatn,gənamɔk,gənamɔk,,,Peiros2004a,,true,MALAY
Semai-26_fatn-1,,Semai,26_fatn,lʔus,lʔus,,,Peiros2004a,,false,
Temiar-26_fatn-1,,Temiar,26_fatn,lɛnʔɔs,lɛnʔɔs,,,Peiros2004a,,false,
Khmer-26_fatn-1,,Khmer,26_fatn,khlɔɲ,khlɔɲ,,,Peiros2004a,,false,
KSurin-26_fatn-1,,KSurin,26_fatn,khlaɲ,khlaɲ,,,Peiros2004a,,false,
ChongH-26_fatn-1,,ChongH,26_fatn,preŋ.A,preŋ.A,,,Peiros2004a,,true,KMR
Chong-26_fatn-1,,Chong,26_fatn,pɨt.A,pɨt.A,,,Peiros2004a,,false,
Kasong-26_fatn-1,,Kasong,26_fatn,pɨh.A,pɨh.A,,,Peiros2004a,,false,
Samre-26_fatn-1,,Samre,26_fatn,kiɲ.C,kiɲ.C,,,Peiros2004a,,false,
PhongV-26_fatn-1,,PhongV,26_fatn,khai.24,khai.24,,,Peiros2004a,,true,TAI
Tuum-26_fatn-1,,Tuum,26_fatn,khaj.45 maə.21,khaj.45 maə.21,,,Peiros2004a,,false,
