Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
^	NULL		9714	"lɛʔ;lɛʔ lawʌn;lɛ mət;lɛʔ rŋoc;dɨŋ ndə"
$	NULL		8470	"lɛʔ;lɛʔ lawʌn;lɛ mət;dɨŋ ndə;thuj"
^$	NULL		1	me^
'	NULL		54	"'usa;por'iʔn;m'ham;m'iɲam;sh'ieŋ"
~	NULL		5	"sədə~c;ʔɨ~ɲ;ta-mɨ~-jə;t=ə~h;lu'o'~i"
'$	NULL		2	"pəntaw';luŋ tabu'"
-$	NULL		15	"ʔyk-;gei-;ga-;kek-;oŋ-"
.$	NULL		5	"par.N.;kon.343ʔ laj.;kuluok.4 təkol.;khuan.55 khuit.;tɔj.243ʔ tɔj."
^-	NULL		3	"-ju.B.1;-khxoŋ.31;-sai.N"
~$	NULL		4	"tawr~;mo'~;re^~;gar~"
E??$	NULL		1	geh E??
^uó^ng$	uố/uo ŋ	Y N	1	uó^ng
^ɲаɨ.31$	ɲ aɨ ³¹	N A 3	1	ɲаɨ.31
^bu.ng$	b u̩/u ŋ	P Y N	1	bu.ng
^co-n$	c/ts o + n */ə	C U _ N E	1	co-n
.11	¹¹	1	23	"qa.55 li.11;lat.11;lɔ.11 čjai.55;laʔ.53 sok.11;na.11"
.22	²²	1	10	"tɛn.22;mat.22 atak.13;pəɨ.22;mɛŋ.22ʔ;mɨc.22"
.A	A/³⁴	2	29	"ʔəjʔ.A sɔŋ.A;khɔm.A ʔuik.A;ʔic.A ek.B;ʔic.A ek.C;ʔic.A jur.B"
.T	T/¹⁵	2	37	"diʔ.T daŋ.L;niʔ.T najh.T;khɔŋ.T.13;diʔ.T daŋ.L;se.T.31"
.13	¹³	2	55	"khɔŋ.T.13;pak.13;thau.13;a çim.13;ʔa.31 sim.13"
.14	¹⁴	2	11	"ʔo.14ʔ;teŋ.14;kicet.14;thot.14;kulok.14"
.15	¹⁵	2	10	"zet.15;kadaŋ.15 ciŋ.3;lha.15;ʔu.31 khot.15;hɔt.15"
.23	²³	2	4	"kasam.23;usok.23 ʔo.51ʔ;kadaŋ.23;ta.23ʔ"
.24	²⁴	2	73	"buɲ.24;tapɛ.24 tɛn.44;cim.24;siaŋ.24;kum.24"
.34	³⁴	2	47	"ka.34 het.34;ka.34 het.34;dul.34;ṭoŋ.34ʔ;baw.34ʔ"
.35	³⁵	2	212	"plaŋ.51 plöʔ.35;ko.35;dɔ.31 hɔ.35;klak.35;mi.35"
.45	⁴⁵	2	80	"vien.45;buɲ.45;bɔh.45;ʔe.45;dɔh.45"
.T$	T/¹⁵	2	212	"tum.T;niʔ.T najh.T;blo.T;cɔi.T;hmok.T"
.F	F/⁵¹	3	2	"huə.F cai.A;tuh.F caj.A"
.21	²¹	3	51	"ka.44 het.21;kluŋ.21;kloŋ.21;ne.21;ni.21"
.31	³¹	3	433	"mɔj.31;tɨŋ.31 pɨt.33;c̣am.33 kauk.31;ho.31 lɛn.51;taŋ.31 ʔəik.51"
.32	³²	3	17	"ʔan.32;laŋ.32;tak.32 ʔɨŋ.45;muəŋ.32 suəŋ.45;kɔ.32 pɔl.32"
.41	⁴¹	3	10	"gâk.55 hâi.41;mən.41;djaŋ.41ʔ;la.41;sot.41"
.43	⁴³	3	78	"bɔn.43 bɔn.33;pɔoŋ.43;ta.43;cim.43;kat.43"
.51	⁵¹	3	362	"plaŋ.51 plöʔ.35;ho.31 lɛn.51;taŋ.31 ʔəik.51;taŋ.31 ʔəik.51;gu.51 si.31"
.53	⁵³	3	86	"ŋɛʔ.53;ŋiʔ.53;puŋ.31 jhi.53;san.53;kak.53"
.F$	F/⁵¹	3	5	"lajʔ.F;ciŋ.F;nam loɔŋ.F;taʔma.F;tiɲ.F"
.42$	⁴²	3	21	"mɛl.42;laj.42;ʔot.42;kuc.42;mɛŋ.42"
